"col1","col2","output","move"
"행정구역(시군구)별","총전입 (명)","총전출 (명)","순이동 (명)"
"화순군","6441","6267","174"
"장흥군","3307","3791","-484"
"강진군","3262","3627","-365"
"해남군","5431","6422","-991"
"영암군","5772","6370","-598"
"무안군","17995","12658","5337"
"함평군","2811","3264","-453"
"영광군","4926","5593","-667"
"장성군","5698","6715","-1017"
"완도군","4055","4427","-372"
"진도군","3846","3064","782"
"신안군","3620","4522","-902"
"경상북도","317701","334679","-16978"
"포항시","61001","64528","-3527"
"경주시","29067","29929","-862"
"김천시","16981","17180","-199"
"안동시","21654","21983","-329"
"구미시","52183","56607","-4424"
"영주시","10789","12056","-1267"
"영천시","14212","14057","155"
"상주시","10836","13440","-2604"
"문경시","9250","9552","-302"
"경산시","38546","37705","841"
"군위군","2125","2422","-297"
"의성군","4484","4669","-185"
"청송군","2448","2496","-48"
"영양군","1212","1306","-94"
"영덕군","3027","3665","-638"
"청도군","4237","4347","-110"
"고령군","2904","3596","-692"
"성주군","4760","5016","-256"
"칠곡군","11949","13946","-1997"
"예천군","7197","6325","872"
"봉화군","2536","2821","-285"
"울진군","5054","5271","-217"
"울릉군","1249","1762","-513"
"경상남도","403339","419997","-16658"
"창원시","0","0","0"
"창원시","132567","140425","-7858"
"울산시","0","0","0"
"마산시","0","0","0"
"진주시","50419","49242","1177"
"진해시","0","0","0"
"통영시","13561","16092","-2531"
"사천시","15911","16277","-366"
"김해시","61638","62359","-721"
"밀양시","13179","13096","83"
"거제시","29264","32158","-2894"
"양산시","44133","43322","811"
"의령군","2628","2666","-38"
"함안군","5908","6971","-1063"
"창녕군","6733","7200","-467"
"양산군","0","0","0"
"고성군","4324","4743","-419"
"남해군","3728","3794","-66"
"하동군","3914","5208","-1294"
"산청군","3525","3638","-113"
"함양군","3386","3493","-107"
"거창군","4784","4995","-211"
"합천군","3737","4318","-581"
"제주특별자치도","98114","94736","3378"
"제주시","71080","68574","2506"
"서귀포시","27034","26162","872"
"북제주군","0","0","0"
"남제주군","0","0","0"
